Seq#,ID#,Florence,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Related Purchase
953,7865,0,1,198,12,6,34,2,0,1,1,0,0,1,0,0,0,1
954,7874,0,1,69,22,1,22,1,0,0,0,0,0,0,0,0,0,0
955,7884,1,0,414,2,9,24,1,0,0,0,1,1,1,0,0,0,2
956,7899,0,1,67,14,1,14,0,0,0,0,0,1,0,0,0,0,1
957,7907,0,0,78,4,1,4,0,0,0,0,0,0,0,0,0,0,0
958,7914,1,0,279,20,6,44,0,1,0,0,2,1,2,0,1,1,5
959,7921,0,1,190,6,6,42,0,1,0,0,0,0,1,0,0,0,1
960,7933,0,1,248,28,1,28,1,0,0,0,0,0,0,0,0,0,0
961,7940,0,0,425,12,10,64,1,0,3,1,2,1,1,2,1,1,6
962,7942,0,1,84,24,1,24,0,0,0,1,0,0,0,0,0,0,0
963,7943,1,1,302,2,1,2,0,0,0,0,0,0,0,0,0,0,0
964,7949,0,1,347,4,4,14,0,0,0,1,0,0,0,0,0,0,0
965,7953,0,0,225,14,4,34,0,1,1,1,0,1,0,0,0,0,1
966,7958,0,0,271,2,6,34,1,0,1,1,1,0,0,0,0,0,0
967,7960,0,1,128,30,1,30,1,0,0,0,0,0,0,0,0,0,0
968,7971,0,1,182,16,5,42,2,0,0,0,1,1,1,0,0,0,2
969,7973,0,1,299,12,7,38,1,2,1,0,1,0,0,0,0,0,0
970,7981,0,1,277,14,11,68,1,1,1,1,2,0,4,0,0,0,4
971,7992,0,1,197,16,12,60,3,2,1,0,2,1,3,0,2,0,6
972,8001,0,1,167,14,3,24,0,1,1,0,1,0,0,1,0,0,1
973,8005,0,1,231,12,2,14,0,0,1,0,0,0,0,0,0,0,0
974,8008,0,0,322,24,3,36,0,0,1,0,0,0,2,0,0,0,2
975,8016,0,0,196,18,2,22,0,0,1,0,0,1,0,0,0,1,2
976,8019,1,1,136,10,2,12,0,0,0,0,0,0,0,0,0,0,0
977,8022,0,1,197,2,1,2,0,0,0,0,0,0,0,0,0,0,0
978,8026,0,1,252,32,5,60,2,1,0,0,0,0,2,0,0,0,2
979,8032,0,0,269,16,1,16,1,0,0,0,0,0,0,0,0,0,0
980,8048,0,1,120,2,3,20,1,0,0,0,0,0,0,0,0,0,0
981,8060,0,0,230,14,1,14,0,0,1,0,0,0,0,0,0,0,0
982,8076,0,1,36,8,2,14,0,0,1,0,0,0,0,0,0,0,0
983,8090,0,0,180,8,2,12,0,0,0,0,0,0,0,0,0,0,0
984,8095,0,0,223,22,4,44,1,0,1,1,1,0,0,1,1,0,2
985,8097,0,1,251,16,12,82,3,0,3,3,1,0,2,0,0,0,2
986,8099,0,0,272,10,9,60,1,2,2,0,0,0,3,0,0,0,3
987,8106,0,1,314,10,1,10,0,0,0,0,0,0,0,0,0,0,0
988,8123,0,1,226,28,1,28,0,0,1,0,0,0,0,0,0,0,0
989,8142,0,1,158,14,5,38,1,0,1,1,0,2,0,1,0,1,4
990,8152,0,0,107,30,1,30,0,0,1,0,0,0,0,0,0,0,0
991,8159,0,0,108,14,5,42,2,0,1,1,0,1,0,0,0,0,1
992,8167,0,1,69,20,1,20,0,0,1,0,0,0,0,0,0,0,0
993,8177,0,0,209,4,2,8,0,0,0,0,0,0,0,0,0,0,0
994,8199,1,1,226,4,2,8,0,0,0,0,0,0,0,0,0,0,0
995,8201,0,1,37,6,2,8,0,0,0,0,0,0,0,0,0,0,0
996,8234,0,0,305,10,1,10,0,0,0,0,0,0,0,0,0,0,0
997,8235,0,1,226,32,7,58,2,1,0,1,0,2,1,0,0,1,4
998,8242,0,0,178,14,7,38,0,1,2,2,0,0,2,0,0,0,2
999,8245,0,0,303,10,2,16,1,0,0,0,0,0,0,0,0,0,0
1000,8251,0,1,135,32,2,34,1,0,0,0,0,0,1,0,0,0,1
1001,8254,0,0,238,8,2,12,0,0,0,0,0,0,0,0,0,0,0
1002,8275,1,1,231,6,10,44,1,0,2,2,0,2,1,1,0,0,4
1003,8290,0,0,131,14,1,14,0,0,0,0,1,0,0,0,0,0,0
1004,8291,0,1,217,16,11,82,3,0,3,3,1,1,0,0,0,0,1
1005,8294,0,1,303,12,2,20,1,0,0,0,0,0,0,0,0,0,0
1006,8303,0,1,42,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1007,8324,0,1,382,2,11,30,2,0,3,1,0,0,1,1,0,0,2
1008,8339,0,0,301,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1009,8345,0,1,67,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1010,8356,0,1,284,6,9,50,2,1,3,0,0,0,1,1,0,0,2
1011,8361,0,1,200,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1012,8363,0,1,344,14,9,60,2,3,3,0,0,0,1,0,0,0,1
1013,8366,0,1,252,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1014,8373,0,1,275,16,2,24,0,0,0,0,0,1,1,0,0,0,2
1015,8382,0,1,282,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1016,8389,0,1,126,2,4,18,1,0,0,0,0,0,0,0,0,0,0
1017,8399,0,1,182,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1018,8404,1,0,282,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1019,8413,0,1,140,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1020,8418,0,1,366,34,6,56,1,1,2,0,0,0,2,1,0,0,3
1021,8423,0,1,103,22,2,26,0,0,1,0,0,1,0,0,0,0,1
1022,8438,0,0,344,12,3,22,0,0,2,0,0,0,0,1,0,0,1
1023,8447,0,1,282,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1024,8465,1,1,320,8,9,30,1,1,3,0,0,1,2,0,0,0,3
1025,8476,0,1,87,8,2,10,0,0,0,0,0,0,0,0,0,0,0
1026,8485,0,1,351,8,4,20,1,0,1,0,0,0,1,0,0,0,1
1027,8486,0,1,258,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1028,8507,0,1,134,26,2,28,0,2,0,0,0,0,0,0,0,0,0
1029,8511,0,1,216,8,2,14,0,1,0,0,0,0,0,0,0,0,0
1030,8524,0,1,355,14,8,30,2,0,4,0,1,1,0,0,0,0,1
1031,8528,0,0,455,12,11,66,2,0,3,4,0,0,1,1,0,0,2
1032,8540,0,0,262,10,2,12,0,0,0,0,0,0,0,0,0,0,0
1033,8541,0,1,153,12,7,46,0,0,1,1,3,0,1,0,0,0,1
1034,8544,0,1,246,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1035,8546,0,0,249,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1036,8549,1,1,322,14,2,22,1,0,0,0,1,0,0,0,1,0,1
1037,8551,0,1,177,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1038,8554,0,0,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1039,8556,0,1,190,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1040,8568,0,1,281,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1041,8569,0,1,323,26,2,34,1,0,0,0,0,1,0,0,0,0,1
1042,8590,0,1,100,14,2,22,1,0,0,0,0,0,0,0,0,0,0
1043,8599,0,0,322,6,7,34,1,0,2,0,1,0,2,0,0,0,2
1044,8606,0,1,169,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1045,8626,0,0,287,20,2,24,0,1,0,0,0,0,1,0,0,0,1
1046,8653,0,0,372,14,6,40,2,0,2,0,1,0,1,0,0,0,1
1047,8658,0,0,384,34,7,50,3,2,1,0,0,0,1,0,0,0,1
1048,8667,0,0,315,14,6,44,1,0,0,1,2,1,1,0,0,0,2
1049,8673,0,1,183,12,11,62,3,2,3,1,0,0,1,0,0,0,1
1050,8676,0,1,67,30,1,30,0,0,0,0,0,0,1,0,0,0,1
1051,8678,0,1,127,16,2,22,0,0,0,1,0,0,1,0,0,0,1
1052,8720,0,0,348,6,4,22,2,0,0,0,1,0,0,0,0,0,0
1053,8722,0,1,227,26,6,38,1,1,1,0,0,0,3,0,0,0,3
1054,8723,0,1,82,32,1,32,0,0,0,0,0,1,0,0,0,0,1
1055,8730,0,1,201,2,2,4,0,0,0,0,0,0,0,0,0,0,0
1056,8738,0,1,128,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1057,8744,0,1,221,14,2,22,0,0,1,0,0,1,0,0,0,0,1
1058,8774,0,1,192,18,4,36,0,0,3,0,1,0,0,0,0,0,0
1059,8784,0,0,30,12,2,14,0,1,0,0,0,0,0,0,0,0,0
1060,8818,0,0,326,2,4,18,0,1,0,0,0,0,0,0,0,0,0
1061,8843,0,1,116,2,6,28,0,1,1,1,0,1,0,0,0,0,1
1062,8900,0,1,341,12,7,44,1,1,2,1,1,0,0,1,0,0,1
1063,8901,0,1,246,8,7,36,0,2,0,1,1,0,1,0,1,0,2
1064,8903,0,1,280,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1065,8907,0,1,294,6,2,10,0,0,0,0,0,0,0,0,0,0,0
1066,8925,0,1,220,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1067,8927,0,1,293,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1068,8953,0,0,72,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1069,8955,0,0,35,10,2,12,0,0,0,0,0,0,0,0,0,0,0
1070,8956,0,0,82,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1071,8958,0,1,305,8,2,16,0,1,0,0,0,0,0,0,0,0,0
1072,8968,0,1,300,18,2,24,1,0,1,0,0,0,0,0,0,0,0
1073,8976,0,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0
1074,8995,0,1,238,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1075,9013,0,0,104,14,2,16,0,0,2,0,0,0,0,0,0,0,0
1076,9019,0,1,364,32,6,50,1,0,1,0,0,3,1,0,0,0,4
1077,9021,0,0,91,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1078,9022,0,0,81,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1079,9026,0,1,222,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1080,9037,0,1,108,22,7,60,1,1,0,3,0,1,1,0,0,0,2
1081,9055,0,1,400,14,7,38,1,0,0,1,1,1,2,0,0,0,3
1082,9068,0,1,377,4,11,48,0,1,4,0,1,1,1,1,1,1,5
1083,9085,0,1,100,14,5,42,2,0,2,0,1,0,0,1,1,0,2
1084,9088,0,1,393,2,7,26,1,0,0,0,0,2,0,0,0,0,2
1085,9103,0,1,349,14,5,30,0,0,2,1,0,0,1,1,0,0,2
1086,9132,1,1,183,6,3,18,0,0,0,0,0,1,0,0,0,0,1
1087,9136,0,1,30,10,2,18,1,0,0,0,0,0,0,0,0,0,0
1088,9137,0,0,234,12,2,18,0,0,0,1,0,0,0,0,0,0,0
1089,9145,0,1,252,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1090,9147,0,1,256,16,2,20,1,0,0,0,0,1,0,0,0,0,1
1091,9153,0,1,199,12,2,18,0,0,0,1,0,0,0,0,0,0,0
1092,9155,0,1,231,32,10,72,2,0,5,3,0,0,0,0,0,0,0
1093,9162,0,1,321,2,7,34,2,1,1,0,0,2,0,1,0,2,5
1094,9172,0,1,260,14,2,16,1,0,1,0,0,0,0,0,0,0,0
1095,9182,0,0,296,4,4,16,1,0,0,0,0,0,0,0,0,0,0
1096,9203,0,1,53,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1097,9208,0,1,350,20,5,38,1,1,1,2,0,0,0,1,0,0,1
1098,9212,0,1,302,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1099,9219,0,1,67,4,4,14,0,0,1,0,0,0,0,0,0,0,0
1100,9229,0,1,310,32,12,99,2,2,2,2,0,0,4,0,0,0,4
1101,9230,0,0,219,14,5,40,2,1,1,0,0,0,1,0,0,0,1
1102,9234,0,1,221,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1103,9246,1,0,64,10,2,16,0,0,0,0,0,1,0,0,0,0,1
1104,9254,0,0,245,14,2,20,0,0,0,1,0,0,0,0,0,0,0
1105,9256,0,1,311,24,12,70,3,3,3,0,0,1,2,0,0,0,3
1106,9260,0,1,163,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1107,9264,0,0,341,14,5,34,0,2,2,1,0,0,0,1,0,0,1
1108,9273,0,1,267,28,2,36,0,0,1,0,0,1,0,0,0,0,1
1109,9283,0,1,227,24,2,30,1,0,1,0,0,0,0,0,0,0,0
1110,9296,0,1,275,6,4,28,0,0,0,2,1,0,0,0,0,0,0
1111,9299,0,1,192,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1112,9304,0,1,317,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1113,9326,0,0,227,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1114,9357,0,1,215,10,8,42,0,2,1,1,1,1,1,0,0,0,2
1115,9363,0,1,133,16,3,22,1,1,0,0,0,0,1,0,0,0,1
1116,9370,0,1,75,10,2,16,1,0,0,0,0,0,0,0,0,0,0
1117,9380,0,0,193,10,6,28,0,1,1,0,2,1,0,0,0,0,1
1118,9400,0,0,250,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1119,9414,1,0,116,6,5,28,1,0,0,0,1,0,0,0,0,0,0
1120,9423,0,1,193,8,6,20,0,1,2,1,0,0,0,0,0,0,0
1121,9440,0,0,135,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1122,9461,0,1,241,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1123,9464,1,0,264,10,12,58,1,1,4,0,0,1,3,2,0,0,6
1124,9477,0,0,258,2,4,16,1,1,0,0,0,0,0,0,0,0,0
1125,9484,1,0,254,12,9,64,0,2,1,1,0,2,2,1,0,2,7
1126,9503,0,1,136,14,6,46,1,1,1,0,0,2,1,1,0,1,5
1127,9507,0,1,116,4,2,8,0,0,0,0,0,0,0,0,0,0,0
1128,9532,0,0,306,14,1,14,1,0,0,0,0,0,0,0,0,0,0
1129,9535,0,1,123,32,2,40,0,1,0,0,1,0,0,0,0,0,0
1130,9536,0,0,63,20,1,20,0,0,0,1,0,0,0,0,0,0,0
1131,9548,0,1,183,12,2,16,0,1,0,0,0,0,0,0,0,0,0
1132,9551,0,1,228,16,9,46,3,2,3,0,0,1,0,1,0,0,2
1133,9564,0,0,167,12,2,16,0,0,0,1,0,0,0,0,0,0,0
1134,9565,0,1,258,6,2,10,0,0,0,0,0,0,0,0,0,0,0
1135,9571,0,0,321,4,2,12,0,0,0,0,0,0,0,0,0,0,0
1136,9586,0,0,258,20,1,20,0,0,0,0,0,0,1,0,0,0,1
1137,9590,0,1,189,12,2,18,1,0,0,0,0,0,0,0,0,0,0
1138,9595,0,1,162,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1139,9611,0,1,454,30,11,64,3,1,2,0,0,2,3,1,0,1,7
1140,9618,1,0,331,8,11,64,1,1,3,1,0,2,1,0,0,0,3
1141,9633,0,1,217,14,4,28,1,1,1,0,0,1,0,0,0,0,1
1142,9634,0,0,215,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1143,9639,0,1,139,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1144,9642,0,1,208,8,4,28,0,1,0,2,0,0,0,0,0,0,0
1145,9650,0,1,50,8,2,12,0,0,0,0,0,0,0,0,0,0,0
1146,9657,0,1,26,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1147,9659,0,1,265,14,1,14,1,0,0,0,0,0,0,0,0,0,0
1148,9676,0,0,263,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1149,9683,0,1,178,12,2,14,0,1,0,0,0,0,0,0,0,0,0
1150,9687,0,1,304,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1151,9688,0,1,293,16,1,16,0,0,0,0,0,1,0,0,0,0,1
1152,9700,0,1,38,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1153,9703,1,0,20,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1154,9709,0,0,190,16,2,20,0,0,1,0,1,0,0,0,0,0,0
1155,9712,0,1,63,2,2,4,0,0,0,0,0,0,0,0,0,0,0
1156,9713,0,0,129,14,2,22,0,0,0,0,1,1,0,0,0,0,1
1157,9720,0,1,302,14,1,14,0,0,0,0,1,0,0,0,0,0,0
1158,9727,0,1,421,14,12,50,1,1,1,1,3,2,2,0,0,0,4
1159,9732,0,1,396,28,7,50,1,0,2,0,2,1,1,1,1,1,5
1160,9736,0,0,199,32,2,34,0,2,0,0,0,0,0,0,0,0,0
1161,9737,0,1,270,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1162,9739,0,1,185,14,5,42,0,1,2,0,0,0,1,1,0,0,2
1163,9764,0,1,143,8,2,14,0,1,0,0,0,0,0,0,0,0,0
1164,9771,0,1,174,20,2,24,1,0,0,0,1,0,0,0,0,0,0
1165,9774,1,1,397,8,11,70,3,1,1,0,1,2,2,0,0,0,4
1166,9781,0,1,169,28,4,42,1,0,2,1,0,0,0,0,0,0,0
1167,9798,0,1,71,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1168,9809,0,0,251,8,6,36,2,0,0,1,1,1,0,0,0,0,1
1169,9810,0,0,131,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1170,9814,1,0,102,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1171,9817,0,1,85,24,2,32,0,0,1,0,0,0,1,0,0,0,1
1172,9828,0,0,290,8,2,10,0,0,0,0,0,0,0,0,0,0,0
1173,9832,0,1,127,2,2,4,0,0,0,0,0,0,0,0,0,0,0
1174,9834,0,1,153,16,10,36,2,0,4,0,2,1,1,0,0,0,2
1175,9835,0,1,64,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1176,9836,0,1,240,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1177,9839,1,0,303,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1178,9850,0,1,226,12,10,44,1,1,3,1,0,1,2,1,0,1,5
1179,9856,0,0,227,16,1,16,0,0,0,0,0,1,0,0,0,0,1
1180,9883,0,1,243,26,9,56,1,2,2,1,0,0,3,0,0,0,3
1181,9888,0,1,108,2,2,4,0,0,0,0,0,0,0,0,0,0,0
1182,9894,0,0,224,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1183,9899,0,1,234,14,1,14,0,0,0,0,0,1,0,0,0,0,1
1184,9923,0,1,269,24,1,24,1,0,0,0,0,0,0,0,0,0,0
1185,9925,0,1,76,14,1,14,0,0,0,1,0,0,0,0,0,0,0
1186,9933,0,1,309,34,2,40,0,1,0,1,0,0,0,0,0,0,0
1187,9934,0,1,88,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1188,9953,0,0,142,16,8,34,2,0,4,1,0,1,0,1,0,0,2
1189,9961,0,1,316,10,2,14,0,0,1,0,0,0,0,0,0,0,0
1190,9967,0,1,213,16,7,54,2,0,3,0,0,1,1,0,0,0,2
1191,9969,0,1,76,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1192,9980,0,1,129,22,1,22,0,0,1,0,0,0,0,0,0,0,0
1193,9985,0,1,331,14,8,30,2,0,2,2,2,0,0,1,1,0,2
1194,9997,0,1,199,14,5,34,3,0,1,0,0,1,0,0,0,0,1
1195,10002,0,1,365,12,6,46,2,1,0,0,0,0,2,0,0,0,2
1196,10012,0,1,80,18,2,24,1,0,1,0,0,0,0,0,0,0,0
1197,10015,1,0,208,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1198,10016,0,1,46,14,2,20,1,0,0,1,0,0,0,0,0,0,0
1199,10037,0,1,200,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1200,10038,0,0,406,4,12,68,3,2,2,2,1,0,0,1,0,0,1
1201,10045,1,0,311,2,9,24,1,1,2,0,1,0,0,0,0,0,0
1202,10047,0,1,458,6,11,48,3,0,1,1,1,2,0,1,0,1,4
1203,10056,1,0,312,14,2,20,1,0,0,0,0,0,0,0,0,0,0
1204,10059,1,1,203,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1205,10064,0,1,79,30,2,34,0,0,1,0,0,0,1,0,0,0,1
1206,10066,0,1,170,32,8,54,2,1,0,2,1,0,2,0,0,0,2
1207,10093,0,1,461,10,11,66,3,0,2,2,0,1,1,0,0,0,2
1208,10099,0,1,210,30,2,34,0,1,0,0,0,1,0,0,0,1,2
1209,10115,0,1,247,12,2,18,1,0,0,0,0,0,0,0,0,0,0
1210,10131,0,0,247,14,3,22,1,0,1,0,0,1,0,0,0,0,1
1211,10165,0,1,312,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1212,10169,0,1,69,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1213,10182,0,0,223,12,11,72,1,1,2,2,1,2,1,0,0,0,3
1214,10183,0,1,99,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1215,10190,0,1,138,8,8,38,2,0,2,1,0,0,0,0,0,0,0
1216,10191,0,1,227,20,2,26,0,0,0,0,0,0,2,0,0,0,2
1217,10206,0,1,415,10,12,68,3,0,2,1,1,2,2,0,0,0,4
1218,10207,0,1,276,32,7,64,1,0,5,0,1,0,0,1,0,0,1
1219,10212,0,1,39,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1220,10223,0,1,165,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1221,10226,0,1,424,12,12,68,4,0,2,0,2,0,3,1,1,0,5
1222,10228,0,1,257,14,3,22,2,1,0,0,0,0,0,0,0,0,0
1223,10232,0,1,325,16,2,18,0,0,0,0,0,1,1,0,0,0,2
1224,10238,0,1,247,14,12,64,2,0,2,1,1,0,5,1,0,0,6
1225,10240,0,1,216,8,2,16,1,0,0,0,0,0,0,0,0,0,0
1226,10248,0,0,193,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1227,10254,0,0,275,24,1,24,1,0,0,0,0,0,0,0,0,0,0
1228,10278,0,1,184,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1229,10285,0,1,303,18,2,22,0,0,0,1,0,0,1,0,0,0,1
1230,10286,0,1,80,10,2,18,1,0,0,0,0,0,0,0,0,0,0
1231,10289,0,1,263,16,2,22,0,0,1,1,0,0,0,0,0,0,0
1232,10291,0,1,73,16,2,24,0,0,0,1,0,0,1,0,0,0,1
1233,10293,0,1,46,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1234,10295,0,1,263,10,3,24,0,0,0,0,1,0,0,0,0,0,0
1235,10314,0,1,282,10,7,28,0,2,1,1,1,1,0,0,0,0,1
1236,10330,0,0,17,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1237,10340,0,1,407,14,8,34,1,1,1,1,1,1,2,0,0,0,3
1238,10351,0,1,192,18,6,38,1,0,3,1,0,0,1,0,0,0,1
1239,10356,0,0,233,8,2,14,1,0,0,0,0,0,0,0,0,0,0
1240,10365,0,1,359,12,12,78,2,1,2,1,2,1,2,1,1,1,6
1241,10370,0,1,300,12,2,18,1,0,0,0,0,0,0,0,0,0,0
1242,10372,0,1,154,16,8,36,3,2,0,0,1,2,0,0,0,0,2
1243,10386,0,1,195,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1244,10392,1,1,187,6,11,38,2,0,3,2,0,0,1,1,0,0,2
1245,10403,0,1,314,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1246,10414,0,1,268,12,2,16,1,0,0,0,0,0,0,0,0,0,0
1247,10420,0,1,123,2,2,8,0,0,0,0,0,0,0,0,0,0,0
1248,10444,0,1,156,16,2,18,0,0,1,0,1,0,0,0,0,0,0
1249,10447,0,1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1250,10449,0,1,299,12,6,28,1,0,2,1,0,1,0,1,0,1,3
1251,10457,0,1,255,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1252,10459,0,0,323,16,6,44,0,1,1,0,2,2,0,0,0,0,2
1253,10477,0,1,133,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1254,10521,0,0,206,16,4,36,0,0,1,0,1,1,1,0,0,0,2
1255,10529,1,1,310,30,2,36,0,0,0,1,0,1,0,0,0,0,1
1256,10530,0,1,27,20,1,20,0,0,0,0,0,0,1,0,0,0,1
1257,10541,1,1,189,4,11,30,0,1,0,0,0,1,1,0,0,1,3
1258,10552,0,1,364,2,9,42,1,1,0,2,0,0,0,0,0,0,0
1259,10570,0,1,92,8,4,30,0,1,1,0,0,0,1,0,0,0,1
1260,10571,1,0,136,2,2,8,0,0,0,0,0,0,0,0,0,0,0
1261,10577,1,1,167,8,2,14,1,0,0,0,0,0,0,0,0,0,0
1262,10583,1,1,159,10,2,14,0,0,0,0,1,0,0,0,0,0,0
1263,10591,0,0,72,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1264,10592,0,1,41,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1265,10602,0,1,194,10,3,16,0,0,1,0,0,0,0,0,0,0,0
1266,10607,0,0,82,14,2,16,1,0,0,0,0,0,0,0,0,0,0
1267,10619,1,1,132,16,6,30,2,1,0,1,0,1,1,0,0,0,2
1268,10653,0,1,152,16,1,16,0,0,0,0,0,0,1,0,0,0,1
1269,10654,0,0,207,4,11,60,1,1,3,1,2,0,0,1,2,0,3
1270,10656,0,1,313,16,12,62,2,3,0,1,2,1,3,0,0,0,4
1271,10669,0,1,259,14,2,22,0,0,2,0,0,0,0,1,0,0,1
1272,10689,0,1,127,2,3,12,0,0,0,0,0,0,0,0,0,0,0
1273,10695,0,1,346,2,10,52,2,1,2,0,0,2,2,0,0,0,4
1274,10696,0,1,220,2,2,6,0,0,0,0,0,0,0,0,0,0,0
1275,10698,0,0,296,14,1,14,0,0,0,0,0,0,0,0,0,0,0
1276,10700,0,0,116,14,2,20,1,0,1,0,0,0,0,1,0,0,1
1277,10709,0,1,160,18,2,26,0,0,1,0,1,0,0,0,0,0,0
1278,10728,0,1,332,8,7,42,3,0,1,0,0,1,1,1,0,1,4
1279,10733,0,0,207,4,2,12,0,0,0,0,0,0,0,0,0,0,0
1280,10740,0,1,51,36,1,36,0,0,0,1,0,0,0,0,0,0,0
1281,10741,0,1,239,16,1,16,1,0,0,0,0,0,0,0,0,0,0
1282,10744,0,1,72,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1283,10749,0,1,362,2,6,20,1,0,0,0,0,0,1,0,0,0,1
1284,10779,0,1,108,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1285,10780,0,1,97,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1286,10783,0,0,86,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1287,10786,1,0,291,4,7,40,0,2,0,1,0,1,0,0,0,0,1
1288,10800,0,1,262,28,10,80,3,0,2,3,0,1,1,1,0,1,4
1289,10806,0,1,415,12,9,60,1,0,2,2,1,2,0,0,0,0,2
1290,10811,0,1,177,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1291,10812,0,1,174,14,4,28,2,0,0,1,0,1,0,0,0,0,1
1292,10820,0,1,81,12,2,20,1,0,0,0,0,0,0,0,0,0,0
1293,10826,0,1,42,32,2,36,0,0,0,0,0,1,1,0,0,0,2
1294,10829,0,0,318,4,7,44,0,1,2,1,1,1,0,1,1,1,4
1295,10832,0,1,195,16,2,18,1,0,1,0,0,0,0,0,0,0,0
1296,10835,1,1,235,2,10,52,2,2,2,0,0,0,2,0,0,0,2
1297,10844,0,0,72,8,4,20,0,1,1,0,1,0,0,0,0,0,0
1298,10845,0,1,291,14,1,14,1,0,0,0,0,0,0,0,0,0,0
1299,10848,0,1,173,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1300,10850,0,1,193,34,11,82,5,0,3,0,0,2,1,1,0,2,6
